bgt_lokaal_id,vec_pand_outline,room,verdieping,appartement,ruimte,attachment,vec_pand_rooms,perceel_id,bag_pnd,bgt_geometry
G0402.8f205a00ba78468b9cc7b20dcede0ebb,"MULTIPOLYGON (((140770.44266568334 470924.1502338292, 140772.56270743164 470924.15033106034, 140774.70141404602 470924.15042914747, 140776.92268000104 470924.15053102106, 140779.15502416028 470924.1506334027, 140779.16022938583 470926.4236726801, 140779.55038725372 470926.4308448587, 140779.55178764835 470928.5211153611, 140779.55318672562 470930.60941950354, 140779.55389619217 470931.66839030077, 140783.1541124767 470931.5590941777, 140783.93155801028 470930.6773915332, 140783.9314837294 470930.61378763366, 140783.92903689953 470928.51866082964, 140783.92661199256 470926.4423057693, 140783.9211414655 470921.7581027195, 140786.5392532429 470921.7572910538, 140787.06761706556 470906.1959299874, 140782.09997199074 470906.0131102136, 140782.91869129988 470895.07103718206, 140776.45691395615 470894.32535847113, 140774.66951434553 470907.074825595, 140776.46153633954 470907.28621628764, 140776.13479969834 470910.1035445063, 140774.32403553816 470909.8960860102, 140774.1002242162 470912.4302210179, 140770.44039147967 470912.14292557567, 140770.44183101386 470919.74335780094, 140770.44266568334 470924.1502338292)), ((140774.82398256857 470930.6132997487, 140774.81346086157 470928.5182139966, 140770.44349314313 470928.5190443677, 140770.4438895099 470930.611775947, 140774.82398256857 470930.6132997487)), ((140774.85002451966 470931.08830726816, 140771.20343495224 470931.19263019966, 140771.2406908116 470931.9096358149, 140774.88702340264 470931.81006820634, 140774.85002451966 470931.08830726816)))",r1,Kelder schaal 1:100,14.,pp.,front,"POLYGON ((140750.41069151572 470924.15002980735, 140750.4162996963 470919.7418020075, 140752.5303133831 470919.73636943544, 140752.5341097121 470924.15003331436, 140750.41069151572 470924.15002980735))",HVS00N1878,0402100001487526,"MULTIPOLYGON (((140725.056 470849.703, 140725.753 470849.629, 140725.923 470850.991, 140728.43 470850.672, 140726.757 470838.252, 140727.699 470836.857, 140744.022 470834.307, 140746.837 470855.187, 140747.513 470860.553, 140742.444 470860.393, 140742.785 470870.472, 140742.829 470876.32, 140742.884 470883.537, 140742.142 470883.56, 140742.128 470883.275, 140735.239 470883.299, 140734.461 470883.313, 140734.445 470883.573, 140733.716 470883.572, 140733.317 470876.4, 140733.181 470873.962, 140733.029 470870.554, 140732.984 470869.547, 140728.283 470869.812, 140726.634 470869.905, 140725.729 470861.129, 140725.62 470860.117, 140726.36 470860.04, 140725.056 470849.703)))"
G0402.8f205a00ba78468b9cc7b20dcede0ebb,"MULTIPOLYGON (((140770.44266568334 470924.1502338292, 140772.56270743164 470924.15033106034, 140774.70141404602 470924.15042914747, 140776.92268000104 470924.15053102106, 140779.15502416028 470924.1506334027, 140779.16022938583 470926.4236726801, 140779.55038725372 470926.4308448587, 140779.55178764835 470928.5211153611, 140779.55318672562 470930.60941950354, 140779.55389619217 470931.66839030077, 140783.1541124767 470931.5590941777, 140783.93155801028 470930.6773915332, 140783.9314837294 470930.61378763366, 140783.92903689953 470928.51866082964, 140783.92661199256 470926.4423057693, 140783.9211414655 470921.7581027195, 140786.5392532429 470921.7572910538, 140787.06761706556 470906.1959299874, 140782.09997199074 470906.0131102136, 140782.91869129988 470895.07103718206, 140776.45691395615 470894.32535847113, 140774.66951434553 470907.074825595, 140776.46153633954 470907.28621628764, 140776.13479969834 470910.1035445063, 140774.32403553816 470909.8960860102, 140774.1002242162 470912.4302210179, 140770.44039147967 470912.14292557567, 140770.44183101386 470919.74335780094, 140770.44266568334 470924.1502338292)), ((140774.82398256857 470930.6132997487, 140774.81346086157 470928.5182139966, 140770.44349314313 470928.5190443677, 140770.4438895099 470930.611775947, 140774.82398256857 470930.6132997487)), ((140774.85002451966 470931.08830726816, 140771.20343495224 470931.19263019966, 140771.2406908116 470931.9096358149, 140774.88702340264 470931.81006820634, 140774.85002451966 470931.08830726816)))",r1,Kelder schaal 1:100,14.,pp.,front,"POLYGON ((140750.41069151572 470924.15002980735, 140750.4162996963 470919.7418020075, 140752.5303133831 470919.73636943544, 140752.5341097121 470924.15003331436, 140750.41069151572 470924.15002980735))",HVS00N1878,0402100001487526,"MULTIPOLYGON (((140725.056 470849.703, 140725.753 470849.629, 140725.923 470850.991, 140728.43 470850.672, 140726.757 470838.252, 140727.699 470836.857, 140744.022 470834.307, 140746.837 470855.187, 140747.513 470860.553, 140742.444 470860.393, 140742.785 470870.472, 140742.829 470876.32, 140742.884 470883.537, 140742.142 470883.56, 140742.128 470883.275, 140735.239 470883.299, 140734.461 470883.313, 140734.445 470883.573, 140733.716 470883.572, 140733.317 470876.4, 140733.181 470873.962, 140733.029 470870.554, 140732.984 470869.547, 140728.283 470869.812, 140726.634 470869.905, 140725.729 470861.129, 140725.62 470860.117, 140726.36 470860.04, 140725.056 470849.703)))"
G0402.8f205a00ba78468b9cc7b20dcede0ebb,"MULTIPOLYGON (((140770.44266568334 470924.1502338292, 140772.56270743164 470924.15033106034, 140774.70141404602 470924.15042914747, 140776.92268000104 470924.15053102106, 140779.15502416028 470924.1506334027, 140779.16022938583 470926.4236726801, 140779.55038725372 470926.4308448587, 140779.55178764835 470928.5211153611, 140779.55318672562 470930.60941950354, 140779.55389619217 470931.66839030077, 140783.1541124767 470931.5590941777, 140783.93155801028 470930.6773915332, 140783.9314837294 470930.61378763366, 140783.92903689953 470928.51866082964, 140783.92661199256 470926.4423057693, 140783.9211414655 470921.7581027195, 140786.5392532429 470921.7572910538, 140787.06761706556 470906.1959299874, 140782.09997199074 470906.0131102136, 140782.91869129988 470895.07103718206, 140776.45691395615 470894.32535847113, 140774.66951434553 470907.074825595, 140776.46153633954 470907.28621628764, 140776.13479969834 470910.1035445063, 140774.32403553816 470909.8960860102, 140774.1002242162 470912.4302210179, 140770.44039147967 470912.14292557567, 140770.44183101386 470919.74335780094, 140770.44266568334 470924.1502338292)), ((140774.82398256857 470930.6132997487, 140774.81346086157 470928.5182139966, 140770.44349314313 470928.5190443677, 140770.4438895099 470930.611775947, 140774.82398256857 470930.6132997487)), ((140774.85002451966 470931.08830726816, 140771.20343495224 470931.19263019966, 140771.2406908116 470931.9096358149, 140774.88702340264 470931.81006820634, 140774.85002451966 470931.08830726816)))",r1,Kelder schaal 1:100,14.,pp.,front,"POLYGON ((140750.41069151572 470924.15002980735, 140750.4162996963 470919.7418020075, 140752.5303133831 470919.73636943544, 140752.5341097121 470924.15003331436, 140750.41069151572 470924.15002980735))",HVS00N1878,0402100001487526,"MULTIPOLYGON (((140725.056 470849.703, 140725.753 470849.629, 140725.923 470850.991, 140728.43 470850.672, 140726.757 470838.252, 140727.699 470836.857, 140744.022 470834.307, 140746.837 470855.187, 140747.513 470860.553, 140742.444 470860.393, 140742.785 470870.472, 140742.829 470876.32, 140742.884 470883.537, 140742.142 470883.56, 140742.128 470883.275, 140735.239 470883.299, 140734.461 470883.313, 140734.445 470883.573, 140733.716 470883.572, 140733.317 470876.4, 140733.181 470873.962, 140733.029 470870.554, 140732.984 470869.547, 140728.283 470869.812, 140726.634 470869.905, 140725.729 470861.129, 140725.62 470860.117, 140726.36 470860.04, 140725.056 470849.703)))"
G0402.8f205a00ba78468b9cc7b20dcede0ebb,"MULTIPOLYGON (((140770.44266568334 470924.1502338292, 140772.56270743164 470924.15033106034, 140774.70141404602 470924.15042914747, 140776.92268000104 470924.15053102106, 140779.15502416028 470924.1506334027, 140779.16022938583 470926.4236726801, 140779.55038725372 470926.4308448587, 140779.55178764835 470928.5211153611, 140779.55318672562 470930.60941950354, 140779.55389619217 470931.66839030077, 140783.1541124767 470931.5590941777, 140783.93155801028 470930.6773915332, 140783.9314837294 470930.61378763366, 140783.92903689953 470928.51866082964, 140783.92661199256 470926.4423057693, 140783.9211414655 470921.7581027195, 140786.5392532429 470921.7572910538, 140787.06761706556 470906.1959299874, 140782.09997199074 470906.0131102136, 140782.91869129988 470895.07103718206, 140776.45691395615 470894.32535847113, 140774.66951434553 470907.074825595, 140776.46153633954 470907.28621628764, 140776.13479969834 470910.1035445063, 140774.32403553816 470909.8960860102, 140774.1002242162 470912.4302210179, 140770.44039147967 470912.14292557567, 140770.44183101386 470919.74335780094, 140770.44266568334 470924.1502338292)), ((140774.82398256857 470930.6132997487, 140774.81346086157 470928.5182139966, 140770.44349314313 470928.5190443677, 140770.4438895099 470930.611775947, 140774.82398256857 470930.6132997487)), ((140774.85002451966 470931.08830726816, 140771.20343495224 470931.19263019966, 140771.2406908116 470931.9096358149, 140774.88702340264 470931.81006820634, 140774.85002451966 470931.08830726816)))",r10,Eerste verdieping schaal 1:100,2.,Terras,front,"POLYGON ((140799.04863564332 470913.0468167737, 140799.6295822369 470915.6596495916, 140799.33684289837 470915.66565087566, 140799.33512652796 470916.4160314671, 140794.72687685094 470916.41602235247, 140794.72728342717 470914.748062255, 140790.47440419052 470914.4159273188, 140790.4892479405 470912.1594258539, 140794.05730730115 470912.43314145063, 140799.04863564332 470913.0468167737))",HVS00N1878,0402100001487526,"MULTIPOLYGON (((140725.056 470849.703, 140725.753 470849.629, 140725.923 470850.991, 140728.43 470850.672, 140726.757 470838.252, 140727.699 470836.857, 140744.022 470834.307, 140746.837 470855.187, 140747.513 470860.553, 140742.444 470860.393, 140742.785 470870.472, 140742.829 470876.32, 140742.884 470883.537, 140742.142 470883.56, 140742.128 470883.275, 140735.239 470883.299, 140734.461 470883.313, 140734.445 470883.573, 140733.716 470883.572, 140733.317 470876.4, 140733.181 470873.962, 140733.029 470870.554, 140732.984 470869.547, 140728.283 470869.812, 140726.634 470869.905, 140725.729 470861.129, 140725.62 470860.117, 140726.36 470860.04, 140725.056 470849.703)))"
G0402.8f205a00ba78468b9cc7b20dcede0ebb,"MULTIPOLYGON (((140770.44266568334 470924.1502338292, 140772.56270743164 470924.15033106034, 140774.70141404602 470924.15042914747, 140776.92268000104 470924.15053102106, 140779.15502416028 470924.1506334027, 140779.16022938583 470926.4236726801, 140779.55038725372 470926.4308448587, 140779.55178764835 470928.5211153611, 140779.55318672562 470930.60941950354, 140779.55389619217 470931.66839030077, 140783.1541124767 470931.5590941777, 140783.93155801028 470930.6773915332, 140783.9314837294 470930.61378763366, 140783.92903689953 470928.51866082964, 140783.92661199256 470926.4423057693, 140783.9211414655 470921.7581027195, 140786.5392532429 470921.7572910538, 140787.06761706556 470906.1959299874, 140782.09997199074 470906.0131102136, 140782.91869129988 470895.07103718206, 140776.45691395615 470894.32535847113, 140774.66951434553 470907.074825595, 140776.46153633954 470907.28621628764, 140776.13479969834 470910.1035445063, 140774.32403553816 470909.8960860102, 140774.1002242162 470912.4302210179, 140770.44039147967 470912.14292557567, 140770.44183101386 470919.74335780094, 140770.44266568334 470924.1502338292)), ((140774.82398256857 470930.6132997487, 140774.81346086157 470928.5182139966, 140770.44349314313 470928.5190443677, 140770.4438895099 470930.611775947, 140774.82398256857 470930.6132997487)), ((140774.85002451966 470931.08830726816, 140771.20343495224 470931.19263019966, 140771.2406908116 470931.9096358149, 140774.88702340264 470931.81006820634, 140774.85002451966 470931.08830726816)))",r10,Eerste verdieping schaal 1:100,2.,Terras,front,"POLYGON ((140799.04863564332 470913.0468167737, 140799.6295822369 470915.6596495916, 140799.33684289837 470915.66565087566, 140799.33512652796 470916.4160314671, 140794.72687685094 470916.41602235247, 140794.72728342717 470914.748062255, 140790.47440419052 470914.4159273188, 140790.4892479405 470912.1594258539, 140794.05730730115 470912.43314145063, 140799.04863564332 470913.0468167737))",HVS00N1878,0402100001487526,"MULTIPOLYGON (((140725.056 470849.703, 140725.753 470849.629, 140725.923 470850.991, 140728.43 470850.672, 140726.757 470838.252, 140727.699 470836.857, 140744.022 470834.307, 140746.837 470855.187, 140747.513 470860.553, 140742.444 470860.393, 140742.785 470870.472, 140742.829 470876.32, 140742.884 470883.537, 140742.142 470883.56, 140742.128 470883.275, 140735.239 470883.299, 140734.461 470883.313, 140734.445 470883.573, 140733.716 470883.572, 140733.317 470876.4, 140733.181 470873.962, 140733.029 470870.554, 140732.984 470869.547, 140728.283 470869.812, 140726.634 470869.905, 140725.729 470861.129, 140725.62 470860.117, 140726.36 470860.04, 140725.056 470849.703)))"
G0402.8f205a00ba78468b9cc7b20dcede0ebb,"MULTIPOLYGON (((140770.44266568334 470924.1502338292, 140772.56270743164 470924.15033106034, 140774.70141404602 470924.15042914747, 140776.92268000104 470924.15053102106, 140779.15502416028 470924.1506334027, 140779.16022938583 470926.4236726801, 140779.55038725372 470926.4308448587, 140779.55178764835 470928.5211153611, 140779.55318672562 470930.60941950354, 140779.55389619217 470931.66839030077, 140783.1541124767 470931.5590941777, 140783.93155801028 470930.6773915332, 140783.9314837294 470930.61378763366, 140783.92903689953 470928.51866082964, 140783.92661199256 470926.4423057693, 140783.9211414655 470921.7581027195, 140786.5392532429 470921.7572910538, 140787.06761706556 470906.1959299874, 140782.09997199074 470906.0131102136, 140782.91869129988 470895.07103718206, 140776.45691395615 470894.32535847113, 140774.66951434553 470907.074825595, 140776.46153633954 470907.28621628764, 140776.13479969834 470910.1035445063, 140774.32403553816 470909.8960860102, 140774.1002242162 470912.4302210179, 140770.44039147967 470912.14292557567, 140770.44183101386 470919.74335780094, 140770.44266568334 470924.1502338292)), ((140774.82398256857 470930.6132997487, 140774.81346086157 470928.5182139966, 140770.44349314313 470928.5190443677, 140770.4438895099 470930.611775947, 140774.82398256857 470930.6132997487)), ((140774.85002451966 470931.08830726816, 140771.20343495224 470931.19263019966, 140771.2406908116 470931.9096358149, 140774.88702340264 470931.81006820634, 140774.85002451966 470931.08830726816)))",r10,Eerste verdieping schaal 1:100,2.,Terras,front,"POLYGON ((140799.04863564332 470913.0468167737, 140799.6295822369 470915.6596495916, 140799.33684289837 470915.66565087566, 140799.33512652796 470916.4160314671, 140794.72687685094 470916.41602235247, 140794.72728342717 470914.748062255, 140790.47440419052 470914.4159273188, 140790.4892479405 470912.1594258539, 140794.05730730115 470912.43314145063, 140799.04863564332 470913.0468167737))",HVS00N1878,0402100001487526,"MULTIPOLYGON (((140725.056 470849.703, 140725.753 470849.629, 140725.923 470850.991, 140728.43 470850.672, 140726.757 470838.252, 140727.699 470836.857, 140744.022 470834.307, 140746.837 470855.187, 140747.513 470860.553, 140742.444 470860.393, 140742.785 470870.472, 140742.829 470876.32, 140742.884 470883.537, 140742.142 470883.56, 140742.128 470883.275, 140735.239 470883.299, 140734.461 470883.313, 140734.445 470883.573, 140733.716 470883.572, 140733.317 470876.4, 140733.181 470873.962, 140733.029 470870.554, 140732.984 470869.547, 140728.283 470869.812, 140726.634 470869.905, 140725.729 470861.129, 140725.62 470860.117, 140726.36 470860.04, 140725.056 470849.703)))"
G0402.8f205a00ba78468b9cc7b20dcede0ebb,"MULTIPOLYGON (((140770.44266568334 470924.1502338292, 140772.56270743164 470924.15033106034, 140774.70141404602 470924.15042914747, 140776.92268000104 470924.15053102106, 140779.15502416028 470924.1506334027, 140779.16022938583 470926.4236726801, 140779.55038725372 470926.4308448587, 140779.55178764835 470928.5211153611, 140779.55318672562 470930.60941950354, 140779.55389619217 470931.66839030077, 140783.1541124767 470931.5590941777, 140783.93155801028 470930.6773915332, 140783.9314837294 470930.61378763366, 140783.92903689953 470928.51866082964, 140783.92661199256 470926.4423057693, 140783.9211414655 470921.7581027195, 140786.5392532429 470921.7572910538, 140787.06761706556 470906.1959299874, 140782.09997199074 470906.0131102136, 140782.91869129988 470895.07103718206, 140776.45691395615 470894.32535847113, 140774.66951434553 470907.074825595, 140776.46153633954 470907.28621628764, 140776.13479969834 470910.1035445063, 140774.32403553816 470909.8960860102, 140774.1002242162 470912.4302210179, 140770.44039147967 470912.14292557567, 140770.44183101386 470919.74335780094, 140770.44266568334 470924.1502338292)), ((140774.82398256857 470930.6132997487, 140774.81346086157 470928.5182139966, 140770.44349314313 470928.5190443677, 140770.4438895099 470930.611775947, 140774.82398256857 470930.6132997487)), ((140774.85002451966 470931.08830726816, 140771.20343495224 470931.19263019966, 140771.2406908116 470931.9096358149, 140774.88702340264 470931.81006820634, 140774.85002451966 470931.08830726816)))",r11,Eerste verdieping schaal 1:100,4.,Terras,front,"POLYGON ((140798.4584195024 470910.39229375956, 140799.04863564332 470913.0468167737, 140794.05730730115 470912.43314145063, 140794.2872319428 470909.8865842584, 140796.1693737743 470910.12995899416, 140798.25334213735 470910.3714469278, 140798.4584195024 470910.39229375956))",HVS00N1878,0402100001487526,"MULTIPOLYGON (((140725.056 470849.703, 140725.753 470849.629, 140725.923 470850.991, 140728.43 470850.672, 140726.757 470838.252, 140727.699 470836.857, 140744.022 470834.307, 140746.837 470855.187, 140747.513 470860.553, 140742.444 470860.393, 140742.785 470870.472, 140742.829 470876.32, 140742.884 470883.537, 140742.142 470883.56, 140742.128 470883.275, 140735.239 470883.299, 140734.461 470883.313, 140734.445 470883.573, 140733.716 470883.572, 140733.317 470876.4, 140733.181 470873.962, 140733.029 470870.554, 140732.984 470869.547, 140728.283 470869.812, 140726.634 470869.905, 140725.729 470861.129, 140725.62 470860.117, 140726.36 470860.04, 140725.056 470849.703)))"
G0402.8f205a00ba78468b9cc7b20dcede0ebb,"MULTIPOLYGON (((140770.44266568334 470924.1502338292, 140772.56270743164 470924.15033106034, 140774.70141404602 470924.15042914747, 140776.92268000104 470924.15053102106, 140779.15502416028 470924.1506334027, 140779.16022938583 470926.4236726801, 140779.55038725372 470926.4308448587, 140779.55178764835 470928.5211153611, 140779.55318672562 470930.60941950354, 140779.55389619217 470931.66839030077, 140783.1541124767 470931.5590941777, 140783.93155801028 470930.6773915332, 140783.9314837294 470930.61378763366, 140783.92903689953 470928.51866082964, 140783.92661199256 470926.4423057693, 140783.9211414655 470921.7581027195, 140786.5392532429 470921.7572910538, 140787.06761706556 470906.1959299874, 140782.09997199074 470906.0131102136, 140782.91869129988 470895.07103718206, 140776.45691395615 470894.32535847113, 140774.66951434553 470907.074825595, 140776.46153633954 470907.28621628764, 140776.13479969834 470910.1035445063, 140774.32403553816 470909.8960860102, 140774.1002242162 470912.4302210179, 140770.44039147967 470912.14292557567, 140770.44183101386 470919.74335780094, 140770.44266568334 470924.1502338292)), ((140774.82398256857 470930.6132997487, 140774.81346086157 470928.5182139966, 140770.44349314313 470928.5190443677, 140770.4438895099 470930.611775947, 140774.82398256857 470930.6132997487)), ((140774.85002451966 470931.08830726816, 140771.20343495224 470931.19263019966, 140771.2406908116 470931.9096358149, 140774.88702340264 470931.81006820634, 140774.85002451966 470931.08830726816)))",r11,Eerste verdieping schaal 1:100,4.,Terras,front,"POLYGON ((140798.4584195024 470910.39229375956, 140799.04863564332 470913.0468167737, 140794.05730730115 470912.43314145063, 140794.2872319428 470909.8865842584, 140796.1693737743 470910.12995899416, 140798.25334213735 470910.3714469278, 140798.4584195024 470910.39229375956))",HVS00N1878,0402100001487526,"MULTIPOLYGON (((140725.056 470849.703, 140725.753 470849.629, 140725.923 470850.991, 140728.43 470850.672, 140726.757 470838.252, 140727.699 470836.857, 140744.022 470834.307, 140746.837 470855.187, 140747.513 470860.553, 140742.444 470860.393, 140742.785 470870.472, 140742.829 470876.32, 140742.884 470883.537, 140742.142 470883.56, 140742.128 470883.275, 140735.239 470883.299, 140734.461 470883.313, 140734.445 470883.573, 140733.716 470883.572, 140733.317 470876.4, 140733.181 470873.962, 140733.029 470870.554, 140732.984 470869.547, 140728.283 470869.812, 140726.634 470869.905, 140725.729 470861.129, 140725.62 470860.117, 140726.36 470860.04, 140725.056 470849.703)))"
G0402.8f205a00ba78468b9cc7b20dcede0ebb,"MULTIPOLYGON (((140770.44266568334 470924.1502338292, 140772.56270743164 470924.15033106034, 140774.70141404602 470924.15042914747, 140776.92268000104 470924.15053102106, 140779.15502416028 470924.1506334027, 140779.16022938583 470926.4236726801, 140779.55038725372 470926.4308448587, 140779.55178764835 470928.5211153611, 140779.55318672562 470930.60941950354, 140779.55389619217 470931.66839030077, 140783.1541124767 470931.5590941777, 140783.93155801028 470930.6773915332, 140783.9314837294 470930.61378763366, 140783.92903689953 470928.51866082964, 140783.92661199256 470926.4423057693, 140783.9211414655 470921.7581027195, 140786.5392532429 470921.7572910538, 140787.06761706556 470906.1959299874, 140782.09997199074 470906.0131102136, 140782.91869129988 470895.07103718206, 140776.45691395615 470894.32535847113, 140774.66951434553 470907.074825595, 140776.46153633954 470907.28621628764, 140776.13479969834 470910.1035445063, 140774.32403553816 470909.8960860102, 140774.1002242162 470912.4302210179, 140770.44039147967 470912.14292557567, 140770.44183101386 470919.74335780094, 140770.44266568334 470924.1502338292)), ((140774.82398256857 470930.6132997487, 140774.81346086157 470928.5182139966, 140770.44349314313 470928.5190443677, 140770.4438895099 470930.611775947, 140774.82398256857 470930.6132997487)), ((140774.85002451966 470931.08830726816, 140771.20343495224 470931.19263019966, 140771.2406908116 470931.9096358149, 140774.88702340264 470931.81006820634, 140774.85002451966 470931.08830726816)))",r11,Eerste verdieping schaal 1:100,4.,Terras,front,"POLYGON ((140798.4584195024 470910.39229375956, 140799.04863564332 470913.0468167737, 140794.05730730115 470912.43314145063, 140794.2872319428 470909.8865842584, 140796.1693737743 470910.12995899416, 140798.25334213735 470910.3714469278, 140798.4584195024 470910.39229375956))",HVS00N1878,0402100001487526,"MULTIPOLYGON (((140725.056 470849.703, 140725.753 470849.629, 140725.923 470850.991, 140728.43 470850.672, 140726.757 470838.252, 140727.699 470836.857, 140744.022 470834.307, 140746.837 470855.187, 140747.513 470860.553, 140742.444 470860.393, 140742.785 470870.472, 140742.829 470876.32, 140742.884 470883.537, 140742.142 470883.56, 140742.128 470883.275, 140735.239 470883.299, 140734.461 470883.313, 140734.445 470883.573, 140733.716 470883.572, 140733.317 470876.4, 140733.181 470873.962, 140733.029 470870.554, 140732.984 470869.547, 140728.283 470869.812, 140726.634 470869.905, 140725.729 470861.129, 140725.62 470860.117, 140726.36 470860.04, 140725.056 470849.703)))"
G0402.8f205a00ba78468b9cc7b20dcede0ebb,"MULTIPOLYGON (((140770.44266568334 470924.1502338292, 140772.56270743164 470924.15033106034, 140774.70141404602 470924.15042914747, 140776.92268000104 470924.15053102106, 140779.15502416028 470924.1506334027, 140779.16022938583 470926.4236726801, 140779.55038725372 470926.4308448587, 140779.55178764835 470928.5211153611, 140779.55318672562 470930.60941950354, 140779.55389619217 470931.66839030077, 140783.1541124767 470931.5590941777, 140783.93155801028 470930.6773915332, 140783.9314837294 470930.61378763366, 140783.92903689953 470928.51866082964, 140783.92661199256 470926.4423057693, 140783.9211414655 470921.7581027195, 140786.5392532429 470921.7572910538, 140787.06761706556 470906.1959299874, 140782.09997199074 470906.0131102136, 140782.91869129988 470895.07103718206, 140776.45691395615 470894.32535847113, 140774.66951434553 470907.074825595, 140776.46153633954 470907.28621628764, 140776.13479969834 470910.1035445063, 140774.32403553816 470909.8960860102, 140774.1002242162 470912.4302210179, 140770.44039147967 470912.14292557567, 140770.44183101386 470919.74335780094, 140770.44266568334 470924.1502338292)), ((140774.82398256857 470930.6132997487, 140774.81346086157 470928.5182139966, 140770.44349314313 470928.5190443677, 140770.4438895099 470930.611775947, 140774.82398256857 470930.6132997487)), ((140774.85002451966 470931.08830726816, 140771.20343495224 470931.19263019966, 140771.2406908116 470931.9096358149, 140774.88702340264 470931.81006820634, 140774.85002451966 470931.08830726816)))",r12,Eerste verdieping schaal 1:100,4.,Terras,front,"POLYGON ((140799.81480900384 470913.07317217585, 140799.22637737505 470910.49579099263, 140799.5323764365 470910.5248491372, 140803.23694892824 470910.9474994518, 140803.18078473833 470912.7533271542, 140799.81480900384 470913.07317217585))",HVS00N1878,0402100001487526,"MULTIPOLYGON (((140725.056 470849.703, 140725.753 470849.629, 140725.923 470850.991, 140728.43 470850.672, 140726.757 470838.252, 140727.699 470836.857, 140744.022 470834.307, 140746.837 470855.187, 140747.513 470860.553, 140742.444 470860.393, 140742.785 470870.472, 140742.829 470876.32, 140742.884 470883.537, 140742.142 470883.56, 140742.128 470883.275, 140735.239 470883.299, 140734.461 470883.313, 140734.445 470883.573, 140733.716 470883.572, 140733.317 470876.4, 140733.181 470873.962, 140733.029 470870.554, 140732.984 470869.547, 140728.283 470869.812, 140726.634 470869.905, 140725.729 470861.129, 140725.62 470860.117, 140726.36 470860.04, 140725.056 470849.703)))"
